Monthly Sales,Advertising Spend,Number of Salespeople,Store Foot Traffic,Online Traffic,Customer Reviews,Product Price,Number of Products,Competitor Price,Seasonality,Promotion
2751,17433.73261644736,19,348,22074,4.543849076008472,341.94513314067717,39,134.14772719362458,3,0
4920,8816.537751353637,14,465,29039,2.407482243709022,147.1240345336629,66,250.50529620986745,5,0
1571,3659.479124370832,2,1325,69828,3.9535613507744505,26.273322256598526,60,342.4612728093338,11,0
1704,1631.2253200573682,7,1561,39569,3.2214450521046993,62.46867688623619,37,142.28343429609555,5,0
4418,19668.92423667868,11,297,12100,1.8060708532928733,57.68255637222631,6,264.5680064832239,7,0
1667,8092.524264881841,17,1029,42294,3.1940763851192413,161.66151976303507,6,63.1032456144258,1,0
2184,8981.432026021603,17,1771,91853,3.078571317798188,127.0347231351631,39,84.1234169928247,2,1
3799,1961.174186030507,4,737,26819,2.3951306566823978,283.57764652754594,36,28.169145582533428,8,1
3267,7944.426019004796,18,706,98526,1.0984798282258228,453.645342546936,89,485.51206417146324,7,1
3457,1315.931500943478,11,172,9292,1.595317213772701,292.1529220321835,50,6.910873997579242,6,1
4969,5384.104372729118,10,346,76997,1.5274081526518102,300.978681564072,80,93.39708418853986,6,0
1060,15533.322280940287,13,952,41444,3.8316698507017395,122.8315442010642,85,308.3690427929112,8,0
2105,18938.34686927364,14,1259,91286,3.8362884542605213,292.53920070315957,10,45.277951432386125,12,1
1972,15249.985726631907,7,1831,91717,3.4469936577318316,77.20572626034294,5,441.538769032932,4,0
4178,7448.672569540853,7,313,74330,3.687628065119824,171.13733457722185,50,361.21197813193265,12,0
756,10301.42980093078,8,1599,21129,2.790063483044099,314.63634567604174,25,483.3630358617572,7,0
4262,7440.717218815787,9,1744,38644,3.7843086758640205,183.84631238690952,95,256.2795958841786,9,0
2454,4410.314957439258,14,1447,86728,2.513304579380685,455.9420238991259,3,153.69982316345116,9,1
1316,4248.745374979499,8,202,43729,1.4001281971576227,439.8538488120562,84,277.00278353365934,3,1
2935,9805.568570305175,17,1976,42808,4.841027137499626,219.90701030695752,4,465.75526506249673,11,1
2134,17616.886195254934,16,427,88496,1.2897377898631892,261.2179895507833,78,262.77691143472094,2,1
1473,18938.275267433706,9,695,96219,1.077202425804284,239.96065407490588,12,137.26748077184772,1,0
4964,12556.804451226246,4,1347,3173,4.918293007457958,96.25948493363364,14,439.3124006411892,9,1
2523,12336.452719606008,7,356,75890,1.5939123508998874,220.206518914855,82,189.09978051366835,12,0
3465,15889.24066073588,18,1769,87640,2.034809288286005,97.83820810115515,27,5.684758249504574,8,1
701,10500.499656856728,8,1471,7874,1.8621152462581794,359.02787783611757,71,127.6040861336964,8,0
2931,1957.0310783933323,3,1231,84099,3.3196495935940225,263.888162714995,48,162.5255870426459,1,1
2918,14282.863419651712,17,1026,91808,4.90300674055972,163.67983735346283,99,430.09484677479156,5,0
3955,19855.53157888402,19,1643,90208,2.0920356051756186,6.534272836771473,22,231.95906769789028,12,0
4726,6077.9882197480865,14,1273,62761,4.880300295404004,300.66495506444,21,225.07070746659386,12,0
1431,13902.721696920864,5,1600,85416,1.1019893958691793,326.29377567940475,43,171.37062186794427,9,0
2487,17421.34741103865,5,1516,3757,4.5521748216708415,7.568865491940278,58,440.9356709083044,1,0
3287,15266.0406669402,13,1807,13120,3.8344353529924398,485.259792927324,18,472.78825458549375,5,0
4805,19325.305587999188,18,1682,24842,2.111094694526042,333.61370360370023,90,495.98571293154157,6,0
3110,11530.606266604365,2,100,70583,4.579452768712355,150.1064792407497,86,191.48692714568844,8,0
4682,5035.419478915863,6,1484,84971,1.106090210395903,104.18033936089104,56,483.24298558544984,3,0
2559,5226.421263349556,2,791,53462,3.5025464693757136,463.22256509653056,69,396.98038696729617,5,1
807,5156.238100998665,8,1674,74381,2.31817084324833,158.0793883758412,99,339.46612808391205,10,1
1652,11821.897156920022,10,1213,44864,4.868484522769408,204.59292635753738,12,126.22029231294921,8,1
